Key,Id,Chinese (Simplified)(zh-CN),English(en),French (France)(fr-FR),German(de),Portuguese (Brazil)(pt-BR),Russian(ru),Spanish(es)
"l1e5 28",39858674064318486,"<emote:shake><volume:1>嘿，<pause:0.5><emote:shake>年轻的水手们，<pause:0.5><emote:shake>独腿乔一直躲在这里！<pause:0.5><emote:shake>进来，<pause:0.5><emote:shake>让他知道你们有多爱他！","<emote:shake><volume:1>Hey,<pause:0.5><emote:shake> young sailors,<pause:0.5><emote:shake> Peg-Leg Joe has been hiding here this whole time!<pause:0.5><emote:shake> Get in here,<pause:0.5><emote:shake> show him how much you love him!","<emote:shake><volume:1>Hé,<pause:0.5><emote:shake> jeunes marins,<pause:0.5><emote:shake> Joe Jambe de Bois s'est caché ici tout ce temps !<pause:0.5><emote:shake> Entrez ici,<pause:0.5><emote:shake> montrez-lui combien vous l'aimez !","Hey, junge Matrosen, Peg-Leg Joe hat sich die ganze Zeit hier versteckt! Kommt her, zeigt ihm, wie sehr ihr ihn liebt!","<emote:shake><volume:1>Ei,<pause:0.5>__jovens marinheiros,<pause:0.5><emote:shake> o Joe Perneta esteve escondido aqui o tempo todo!<pause:0.5><emote:shake> Entrem aqui,<pause:0.5><emote:shake> mostrem a ele o quanto vocês o amam!","<emote:shake><volume:1>Эй,<pause:0.5><emote:shake> юнги,<pause:0.5><emote:shake> здесь все это время прятался Хромой Джо!<pause:0.5><emote:shake> Быстрее сюда,<pause:0.5><emote:shake> покажите, как вы его любите!","<emote:shake><volume:1>Hola,<pause:0.5><emote:shake> jóvenes marineros,<pause:0.5><emote:shake> ¡Peg-Leg Joe se ha estado escondiendo aquí todo este tiempo!<pause:0.5><emote:shake> ¡Entren,<pause:0.5><emote:shake> demuéstrenle cuánto lo aman!"
"l1e5 29",39858674064318487,"<volume:0.5>前进，水兵们，<pause:0.75>把世界上所有的宝藏都带给我！<pause:0.75>哈哈哈哈！","<volume:0.5>Forward, swabbies,<pause:0.75> bring me all the treasures in the world!<pause:0.75> Hahahahaha!","<volume:0.5>En avant, matelots,<pause:0.75> rapportez-moi tous les trésors du monde !<pause:0.75> Hahahahaha !","<volume:0.5>Vorwärts, ihr Matrosen,<pause:0.75> bringt mir alle Schätze der Welt!<pause:0.75> Hahahahaha!","<volume:0.5>Avante, marinheiros,<pause:0.75> tragam-me todos os tesouros do mundo!<pause:0.75> Hahahahaha!","<volume:0.5>Вперед, салаги,<pause:0.75> добудьте мне все сокровища мира!<pause:0.75> Ахахахаах!","<volume:0.5>¡Adelante, marineros,<pause:0.75> traedme todos los tesoros del mundo!<pause:0.75> ¡Jajajajaja!"
"l1e5 30",39858674064318488,"是独腿乔！","It's Peg-Leg Joe!","C'est Joe à la jambe de bois !","Das ist Holzbein-Joe!","É o Joe Perneta!","Это Хромой Джо!","¡Es Joe Pata de Palo!"
"l1e5 31",39858674064318489,"快跑过去！","Run to him!","Courez vers lui !","Lauf zu ihm!","Corra até ele!","Бежим к нему скорее!","¡Corre hacia él!"
"l1e5 32",39858674064318490,"哦，不。","Oh no.","Oh non.","Oh nein.","Oh não.","Ой-ей.","Oh, no."
"l1e6 1",39858674064318491,"*叹气* <pause:1> 家。","*sigh* <pause:1> Home.","*soupir* <pause:1> Accueil.","*seufz* <pause:1> Startseite.","*suspiro* <pause:1> Início.","*вздох* <pause:1> Домой.","*suspiro* <pause:1> Inicio."
"l1e7 1",39858674064318492,"嗯？","Huh?","Hein?","Hä?","Huh?","А?","¿Eh?"
"l1e7 2",39858674064318493,"什么鬼……","What the...","Quoi...","Was zum...","Que...","Какого?..","¿Qué...?"
"l1e7 3",39858674064318494,"银","Silver","Argent","Silber","Prata","Серый","Plata"
"l1e7 4",39858674064318495,"如果你出门不戴帽子，我就告诉妈妈。","If you go out without a hat, I'm telling Mom","Si tu sors sans chapeau, je le dis à maman","Wenn du ohne Hut aus dem Haus gehst, sage ich's Mama.","Se você sair sem chapéu, vou contar para a mamãe.","Будешь без шапки ходить, расскажу матери","Si sales sin sombrero, se lo diré a mamá."
"l1e7 5",39858674064318496,"不","DON'T","NE LE FAITES PAS","NICHT","NÃO","НЕ НАДО","NO"
"l1e7 6",39858674064318497,"新消息","new message","nouveau message","neue Nachricht","nova mensagem","новое сообщение","nuevo mensaje"
"l1e7 7",39858674064318498,"来厨房","Come to the kitchen","Venez dans la cuisine","Komm in die Küche","Venha para a cozinha.","Выходи на кухню","Ven a la cocina"
"l1e7 8",39858674064318499,"嘿！","Hey there!","Salut!","Hallo!","Ei!","Приветики!","¡Hola!"
"l1e7 9",39858674064318500,"你难道不知道你不能就这样闯进我家吗？","You do realize you can't just break into my place like that?","Vous vous rendez compte que vous ne pouvez pas simplement entrer chez moi comme ça ?","Dir ist schon klar, dass du nicht einfach so in meine Wohnung einbrechen kannst?","Você tem noção de que não pode simplesmente invadir minha casa assim?","Ты же понимаешь, что ты не можешь просто так вламываться ко мне домой?","¿Te das cuenta de que no puedes entrar en mi casa así como así?"
"l1e7 10",39858674064318501,"它已解锁。","It was unlocked.","Il était déverrouillé.","Es war entriegelt.","Estava destrancado.","У тебя было открыто.","Estaba desbloqueado."
"l1e7 11",39858674064318502,"你为什么坐在黑暗中？","And why are you sitting here in the dark?","Et pourquoi êtes-vous assis ici dans le noir ?","Und warum sitzt du hier im Dunkeln?","E por que você está sentado aqui no escuro?","И почему ты тут сидишь в темноте?","¿Y por qué estás sentado aquí en la oscuridad?"
"l1e7 12",39858674064318503,"我感觉心情很好，想玩玩。","I'm feeling playful.","J'ai envie de jouer.","Ich bin in verspielter Stimmung.","Estou me sentindo brincalhão(a).","У меня игривое настроение.","Me siento juguetón."
"l1e7 13",39858674064318504,"...","...","...","...","...","...","..."
"l1e7 14",39858674064318505,"哦，<pause:0.5>，别装作不高兴见到我的样子。","Oh,<pause:0.5> don't act like you're not happy to see me.","Oh,<pause:0.5>, ne fais pas comme si tu n'étais pas content de me voir.","Oh, <pause:0.5> tu nicht so, als würdest du dich nicht freuen, mich zu sehen.","Oh, <pause:0.5> não aja como se não estivesse feliz em me ver.","Ой,<pause:0.5> ну, не веди себя так, будто бы не рад меня видеть.","Oh,<pause:0.5> no actúes como si no estuvieras feliz de verme."
"l1e7 15",39858674064318506,"我是。","I am.","Je suis.","Ich bin.","Eu sou.","Я рад.","Soy."
"l1e7 16",39858674064318507,"所以，你为什么在这里？","So.<pause:0.75> Why are you here?","Alors.<pause:0.75> Pourquoi êtes-vous ici ?","So.<pause:0.75> Warum bist du hier?","Então, por que você está aqui?","И так.<pause:0.75> Зачем ты пришел?","Entonces.<pause:0.75> ¿Por qué estás aquí?"
"l1e7 17",39858674064318508,"我能顺道去看看我弟弟吗？","Can't I just drop by to check on my little brother?","Je ne peux pas passer voir mon petit frère ?","Kann ich nicht einfach mal vorbeischauen und nach meinem kleinen Bruder sehen?","Não posso simplesmente dar uma passadinha para ver como está meu irmãozinho?","Я что не могу просто прийти проведать своего братишку?","¿No puedo simplemente pasar a ver cómo está mi hermano pequeño?"
"l1e7 18",39858674064318509,"你可以这样做，但你不会这样做。","You can,<pause:0.75> but you don't.","Vous pouvez,<pause:0.75> mais vous ne le faites pas.","Du kannst, aber du tust es nicht.","Você pode,<pause:0.75> mas você não faz.","Ты можешь,<pause:0.75>  но ты так не делаешь.","Puedes,<pause:0.75> pero no lo haces."
"l1e7 19",39858674064318510,"哇，你真的这么轻视我吗？","Wow. Is that really how little you think of me?","Waouh. Tu me sous-estimes vraiment à ce point ?","Wow. Ist das wirklich so wenig, wie du von mir hältst?","Nossa. É assim que você me considera?","Как плохо ты обо мне думаешь.","Vaya. ¿De verdad es tan poco lo que piensas de mí?"
"l1e7 20",39858674064318511,"好吧，<pause:0.75>，你赢了。","Alright,<pause:0.75> you got me.","D'accord,<pause:0.75> tu m'as eu.","Okay,<pause:0.75>, du hast mich erwischt.","Certo, você me pegou.","Ладно,<pause:0.75> ты меня подловил.","Muy bien,<pause:0.75> me tienes."
"l1e7 21",39858674064318512,"我来这里并非无缘无故。我有个提议。","I'm not here for no reason.<pause:0.75> I have a proposition for you.","Je ne suis pas ici sans raison.<pause:0.75> J'ai une proposition à vous faire.","Ich bin nicht ohne Grund hier. Ich habe einen Vorschlag für Sie.","Não estou aqui sem motivo.<pause:0.75> Tenho uma proposta para você.","Я и вправду пришел не просто так.<pause:0.75> У меня есть для тебя предложение.","No estoy aquí sin motivo.<pause:0.75> Tengo una propuesta para ti."
"l1e7 22",39858674064318513,"不！","NO!","NON!","NEIN!","NÃO!","НЕТ!","¡NO!"
"l1e7 23",39858674064318514,"你根本没听我说完。","You didn't even hear me out.","Tu ne m'as même pas écouté.","Du hast mir nicht einmal zugehört.","Você nem sequer me ouviu.","Но ты даже не выслушал.","Ni siquiera me escuchaste."
"l1e7 24",39858674064318515,"不！<pause:0.75> 我退出游戏了！<pause:0.75> 我现在只是个普通厨师，记得吗？","NO!<pause:0.75> I'm out of the game!<pause:0.75> I'm just a regular cook now, remember?","NON !<pause:0.75> Je me retire du jeu !<pause:0.75> Je ne suis plus qu'un simple cuisinier maintenant, vous vous souvenez ?","NEIN!<pause:0.75> Ich bin raus aus dem Spiel!<pause:0.75> Ich bin jetzt nur noch ein ganz normaler Koch, erinnerst du dich?","NÃO!<pause:0.75> Estou fora do jogo!<pause:0.75> Agora sou apenas um cozinheiro comum, lembra?","НЕТ!<pause:0.75> Я вышел из игры!<pause:0.75> Я теперь обычный повар, забыл?","¡NO!<pause:0.75> ¡Estoy fuera del juego!<pause:0.75> Ahora solo soy un cocinero normal, ¿recuerdas?"
"l1e7 25",39858674064318516,"你在一家儿童餐厅卖冰淇淋。你不是厨师。","You're serving ice cream at a children's restaurant.<pause:0.75> You're not a cook.","Vous servez de la glace dans un restaurant pour enfants.<pause:0.75> Vous n'êtes pas cuisinier.","Du servierst Eis in einem Kinderrestaurant. Du bist kein Koch.","Você está servindo sorvete em um restaurante infantil.<pause:0.75> Você não é cozinheiro(a).","Ты накладываешь мороженое в детском заведении.<pause:0.75> Ты не повар.","Estás sirviendo helado en un restaurante infantil.<pause:0.75> No eres cocinero."
"l1e7 26",39858674064318517,"我经常在家练习！","I practice a lot at home!","Je m'entraîne beaucoup à la maison !","Ich übe viel zu Hause!","Eu pratico bastante em casa!","Я много практикуюсь дома!","¡Practico mucho en casa!"
"l1e7 27",39858674064318518,"我知道你很优秀。","And I know you're good.","Et je sais que tu es bon.","Und ich weiß, dass du gut bist.","E eu sei que você é bom.","И я знаю, что у тебя хорошо получается.","Y yo sé que eres bueno."
"l1e7 28",39858674064318519,"但做饭不是一种爱好，而是一项职业。","But being a cook isn't a hobby,<pause:0.75> it's a profession.","Mais être cuisinier n'est pas un passe-temps, c'est une profession.","Aber Koch zu sein ist kein Hobby, sondern ein Beruf.","Mas ser cozinheiro não é um hobby, é uma profissão.","Но повар - это не хобби,<pause:0.75> повар - это профессия.","Pero ser cocinero no es un hobby, es una profesión."
"l1e7 29",39858674064318520,"你来这里就是为了侮辱我吗？","Did you come here just to insult me?","Tu es venu ici juste pour m'insulter ?","Bist du nur hierher gekommen, um mich zu beleidigen?","Você veio aqui só para me insultar?","Ты пришел говорить обидные вещи или что?","¿Viniste aquí sólo para insultarme?"
"l1e7 30",39858674068512768,"我其实是来帮你的。","I actually came to help you with that.","En fait, je suis venu pour vous aider avec ça.","Ich bin eigentlich gekommen, um Ihnen dabei zu helfen.","Na verdade, vim para te ajudar com isso.","Я на самом деле пришел тебе с этим помочь.","En realidad vine a ayudarte con eso."
"l1e7 31",39858674068512769,"首先，我不喜欢这个说法。其次，你对烹饪一窍不通。","First of all, I don't like the sound of that.<pause:0.75> And second, you don't understand anything about cooking.","Tout d'abord, ça ne me plaît pas du tout. Et ensuite, tu ne connais rien à la cuisine.","Erstens gefällt mir das nicht. Und zweitens verstehst du überhaupt nichts vom Kochen.","Em primeiro lugar, não gosto do que isso soa. E em segundo lugar, você não entende nada de culinária.","Во-первых мне не нравится.<pause:0.75> А во-вторых ты ничего не понимаешь в готовке.","Primero que todo, no me gusta cómo suena eso.<pause:0.75> Y segundo, no entiendes nada de cocina."
"l1e7 32",39858674068512770,"也许不是。但我明白你实现目标的方式不对。","Maybe not.<pause:0.75> But I do understand that you're going about your goal the wrong way.","Peut-être pas.<pause:0.75> Mais je comprends que vous vous y prenez mal pour atteindre votre objectif.","Vielleicht nicht. Aber ich verstehe, dass du dein Ziel auf dem falschen Weg verfolgst.","Talvez não.<pause:0.75> Mas eu entendo que você está buscando seu objetivo da maneira errada.","Зато я понимаю, что ты идешь к своей цели неправильно.","Tal vez no.<pause:0.75> Pero entiendo que estás abordando tu objetivo de manera incorrecta."
"l1e7 33",39858674068512771,"Red，<pause:0.75>，你跟不上。","Red,<pause:0.75> you're not keeping up.","Rouge,<pause:0.75> tu ne suis pas à la hauteur.","Red,<pause:0.75> du kommst nicht hinterher.","Vermelho,<pause:0.75> você não está acompanhando.","Рыжий,<pause:0.75> ты не вывозишь.","Rojo,<pause:0.75> no estás al día."
"l1e7 34",39858674068512772,"更糟糕的是，你正在经历的事情并没有让你离目标更近一步。","Worse,<pause:0.75> what you're going through isn't bringing you closer to your goal.","Pire encore, ce que vous traversez ne vous rapproche pas de votre objectif.","Noch schlimmer ist, dass das, was du gerade durchmachst, dich deinem Ziel nicht näher bringt.","Pior ainda, o que você está passando não está te aproximando do seu objetivo.","Более того, то, через что ты проходишь тебя не приближает к цели.","Peor aún, lo que estás atravesando no te acerca a tu objetivo."
"l1e7 35",39858674068512773,"它正把你们越推越远。","It's pushing you further away.","Cela vous éloigne encore plus.","Es treibt dich immer weiter weg.","Isso está te afastando ainda mais.","Скорее отдаляет.","Te está alejando aún más."
"l1e7 36",39858674068512774,"不，不是的！","No, it's not!","Non, ce n'est pas le cas !","Nein, das stimmt nicht!","Não, não é!","А вот и нет!","¡No, no lo es!"
"l1e7 37",39858674068512775,"看看这个！","Take a look at this!","Regardez ça !","Schau dir das an!","Dê uma olhada nisso!","Посмотри ка на это!","¡Échale un vistazo a esto!"
"l1e7 38",39858674068512776,"看！","Behold!","Voir!","Sehen!","Contemplar!","Узри!","¡Mirad!"
"l1e7 39",39858674068512777,"我的目标","my goal","mon objectif","Mein Ziel","meu objetivo","моя цель","mi objetivo"
"l1e7 40",39858674068512778,"看！我已经完成一半了！","See?<pause:0.5> I'm already halfway there!","Tu vois ?<pause:0.5> J'y suis déjà à mi-chemin !","Seht ihr?<pause:0.5> Ich bin schon auf halbem Weg!","Viu?<pause:0.5> Já estou na metade do caminho!","Видишь?<pause:0.5> Я уже на пол пути к цели!","¿Ves?<pause:0.5> ¡Ya estoy a mitad de camino!"
"l1e7 41",39858674068512779,"我可不是白白每天拖着疲惫的身体去上班的！","I don't drag myself to that damn job day after day for nothing!","Je ne me traîne pas à ce fichu boulot jour après jour pour rien !","Ich schleppe mich ja nicht umsonst Tag für Tag zu diesem verdammten Job!","Não me arrasto para esse maldito emprego dia após dia à toa!","Я день за днем хожу на эту чертову работу не просто так!","¡No me arrastro a ese maldito trabajo día tras día para nada!"
"l1e7 42",39858674068512780,"每个月，罐子里的钱都越来越多！","Every month, there's more and more money in the jar!","Chaque mois, le pot se remplit de plus en plus !","Jeden Monat landet mehr und mehr Geld im Glas!","Todo mês, tem mais e mais dinheiro no pote!","С каждым месяцем в баночке все больше денег!","¡Cada mes hay más y más dinero en el frasco!"
"l1e7 43",39858674068512781,"等我把这笔钱填满，我就要开一家餐厅，供应最美味的菜肴！","And when I fill this up, I'll open a restaurant where I serve the best dishes around!","Et quand j'aurai rempli cette caisse, j'ouvrirai un restaurant où je servirai les meilleurs plats du coin !","Und wenn ich das voll habe, eröffne ich ein Restaurant, in dem ich die besten Gerichte der Gegend serviere!","E quando eu encher isso, vou abrir um restaurante onde servirei os melhores pratos da região!","А когда я ее заполню, я открою ресторан, где буду подавать самые вкусные блюда!","¡Y cuando llene esto, abriré un restaurante donde serviré los mejores platos de la zona!"
"l1e7 44",39858674068512782,"而且员工还能获得超长的休息时间！","And the staff will get outrageously long breaks!","Et le personnel bénéficiera de pauses excessivement longues !","Und die Angestellten bekommen unglaublich lange Pausen!","E os funcionários terão intervalos absurdamente longos!","И в нем будут возмутительно долгие перерывы для сотрудников!","¡Y el personal tendrá descansos escandalosamente largos!"
"l1e7 45",39858674068512783,"但是，在那里工作会非常棒，以至于没有人愿意带他们去！","But working there will be so amazing no one will even want to take them!","Mais travailler là-bas sera tellement génial que personne ne voudra même les prendre !","Aber die Arbeit dort wird so fantastisch sein, dass niemand sie überhaupt einstellen will!","Mas trabalhar lá será tão incrível que ninguém vai querer contratá-los!","Но работать в нем будет так классно, что никто не захочет ими пользоваться!","¡Pero trabajar allí será tan maravilloso que nadie querrá ni llevárselos!"
"l1e7 46",39858674068512784,"谁也不会再说雷德不是个真正的厨师了！","And no one will ever say Red isn't a real cook!","Et personne ne dira jamais que Red n'est pas une vraie cuisinière !","Und niemand wird jemals behaupten, Red sei kein richtiger Koch!","E ninguém jamais dirá que Red não é um cozinheiro de verdade!","И больше никто не скажет, что Рыжий - не повар!","¡Y nadie dirá jamás que Red no es un verdadero cocinero!"
"l1e7 47",39858674068512785,"没有人！","No one!","Personne!","Niemand!","Ninguém!","Никто!","¡Nadie!"
"l1e7 48",39858674068512786,"哦，你这个爱生气的小甜心","Oh, you grumpy little cupcake","Oh, petit gâteau grognon","Oh, du mürrischer kleiner Cupcake","Oh, seu bolinho rabugento!","Да ты моя ворчливая булочка.","Oh, tú, pequeño pastelito gruñón"
"l1e7 49",39858674068512787,"我并不是说你工作很努力。","I'm not arguing that you work hard.","Je ne conteste pas que vous travailliez dur.","Ich bestreite nicht, dass du hart arbeitest.","Não estou dizendo que você trabalha duro.","Я и не спорю, что ты трудишься очень усердно.","No estoy diciendo que trabajes duro."
"l1e7 50",39858674068512788,"正好相反。<pause:0.5> 你埋头做饭太深，以至于忘记睁开眼睛了。","It's opposite.<pause:0.5> You've buried yourself in cooking so deep you forgot to keep your eyes open.","C'est tout le contraire.<pause:0.5> Vous vous êtes tellement plongé dans la cuisine que vous avez oublié de garder les yeux ouverts.","Es ist genau umgekehrt. Du hast dich so tief ins Kochen vertieft, dass du vergessen hast, die Augen offen zu halten.","É o oposto.<pause:0.5> Você se envolveu tanto na culinária que se esqueceu de manter os olhos abertos.","Скорее наоборот,<pause:0.5> ты так закопался в готовку, что забыл держать нос по ветру.","Es lo opuesto.<pause:0.5> Te has sumergido tanto en la cocina que olvidaste mantener los ojos abiertos."
"l1e7 51",39858674068512789,"Red，<pause:0.5>，你是什么时候设定这个目标的？","Red,<pause:0.5> how long ago did you set this goal?","Rouge,<pause:0.5>, il y a combien de temps avez-vous fixé cet objectif ?","Red,<pause:0.5> Wie lange ist es her, dass du dir dieses Ziel gesetzt hast?","Vermelho,<pause:0.5> há quanto tempo você definiu essa meta?","Рыжий,<pause:0.5> как давно ты поставил себе эту цель?","Rojo,<pause:0.5> ¿hace cuánto tiempo estableciste este objetivo?"
"l1e7 52",39858674068512790,"一年半前。","A year and a half ago.","Il y a un an et demi.","Vor anderthalb Jahren.","Há um ano e meio.","Полтора года назад.","Hace un año y medio."
"l1e7 53",39858674068512791,"你看到自那时以来价格上涨了多少吗？","Have you seen how much prices have gone up since then?","Avez-vous constaté à quel point les prix ont augmenté depuis ?","Haben Sie gesehen, wie stark die Preise seitdem gestiegen sind?","Você viu o quanto os preços subiram desde então?","Ты видел, как цены за это время подскочили?","¿Has visto cuánto han subido los precios desde entonces?"
"l1e7 54",39858674068512792,"价格总是会小幅上涨的。","Well, prices always go up a little.","Eh bien, les prix augmentent toujours un peu.","Nun ja, die Preise steigen immer ein bisschen.","Bem, os preços sempre sobem um pouco.","Ну, цены всегда понемногу растут.","Bueno, los precios siempre suben un poco."
"l1e7 55",39858674068512793,"看看你当年喜欢的那些设备现在值多少钱吧。","Just look at how much that equipment you liked back then costs now.","Regarde combien coûte maintenant le matériel que tu aimais bien à l'époque.","Schau dir nur an, wie viel die Geräte, die du damals mochtest, heute kosten.","Veja só quanto custa hoje aquele equipamento que você gostava naquela época.","Просто посмотри, сколько стоит то оборудование, которое тебе тогда приглянулось.","Sólo mira cuánto cuesta ahora ese equipo que te gustaba en aquel entonces."
"l1e7 56",39858674068512794,"哦，拜托，<pause:0.5>，情况不会那么糟糕。","Oh come on,<pause:0.5> it can't be that bad.","Allez, <pause:0.5>, ça ne peut pas être si terrible.","Ach komm schon, so schlimm kann es doch nicht sein.","Ah, qual é, não pode ser tão ruim assim.","Ой, ну, не может же быть все настолько плохо.","Oh, vamos,<pause:0.5> no puede ser tan malo."
"l1e7 57",39858674068512795,"我相信以你那股倔劲儿，肯定能移山填海。","I'm sure you could move mountains with that stubbornness of yours.","Je suis sûre qu'avec votre entêtement, vous pourriez déplacer des montagnes.","Mit deiner Sturheit könntest du bestimmt Berge versetzen.","Tenho certeza de que você seria capaz de mover montanhas com essa sua teimosia.","Я уверен, что ты своим упрямством можешь горы свернуть.","Estoy seguro de que podrías mover montañas con esa terquedad tuya."
"l1e7 58",39858674068512796,"但如果你继续这样下去，你只会离目标越来越远。","But if you keep going like this, you'll drift even further from your goal.","Mais si vous continuez comme ça, vous vous éloignerez encore plus de votre objectif.","Wenn du aber so weitermachst, entfernst du dich immer weiter von deinem Ziel.","Mas se você continuar assim, vai se distanciar ainda mais do seu objetivo.","Но, если продолжишь в том же духе, то отдалишься от цели еще сильнее.","Pero si sigues así, te alejarás aún más de tu objetivo."
"l1e7 59",39858674068512797,"物价上涨的速度超过了你的收入增长速度。","Things are getting more expensive faster than you're earning.","Les choses coûtent plus cher que vous ne gagnez.","Die Kosten steigen schneller, als du verdienst.","As coisas estão ficando mais caras mais rápido do que você está ganhando.","Вещи дорожают быстрее, чем ты зарабатываешь.","Las cosas se están volviendo más caras más rápido de lo que ganas."
"l1e7 60",39858674068512798,"那我该怎么办？","So what am I supposed to do?","Alors, que suis-je censé faire ?","Was soll ich denn nun tun?","Então, o que eu devo fazer?","И что мне тогда делать?","Entonces ¿qué se supone que debo hacer?"
"l1e7 61",39858674068512799,"采取行动。","Take action.","Agissez.","Handeln Sie.","Tome uma atitude.","Действовать.","Tomar medidas."
"l1e7 62",39858674068512800,"但这仍然不足以覆盖你的整个视野​​。","This still isn't enough to cover your whole vision.","Cela ne suffit toujours pas à couvrir l'ensemble de votre vision.","Das reicht noch nicht aus, um Ihre gesamte Vision abzudecken.","Isso ainda não é suficiente para abranger toda a sua visão.","Здесь все еще не хватит на то, чтобы покрыть всю твою задумку в полной мере.","Esto todavía no es suficiente para cubrir toda tu visión."
"l1e7 63",39858674068512801,"但对于一些规模较小的项目来说，这是一笔不错的启动资金。","But it's decent starting capital for something more modest.","Mais c'est un capital de départ correct pour quelque chose de plus modeste.","Aber es ist ein ordentliches Startkapital für etwas Bescheideneres.","Mas é um capital inicial razoável para algo mais modesto.","Но это неплохой стартовый капитал, чтобы начать с чего-то более скромного.","Pero es un capital inicial decente para algo más modesto."
"l1e7 64",39858674068512802,"例如，<pause:0.75> 小镇上的一家小餐馆。","For example,<pause:0.75> a small restaurant in a smaller town.","Par exemple,<pause:0.75> un petit restaurant dans une petite ville.","Zum Beispiel: <pause:0.75> ein kleines Restaurant in einer kleineren Stadt.","Por exemplo,<pause:0.75> um pequeno restaurante em uma cidade menor.","Например,<pause:0.75> с ресторанчика в городе поменьше.","Por ejemplo, <pause:0.75> un pequeño restaurante en una ciudad más pequeña."
"l1e7 65",39858674068512803,"我已经考察出一个很有希望的地方。我们的钱可以支付首付。","I've already scoped out a promising spot.<pause:0.75> Our money would cover the down payment.","J'ai déjà repéré un endroit prometteur.<pause:0.75> Notre argent couvrirait l'acompte.","Ich habe bereits einen vielversprechenden Platz ausfindig gemacht. Unser Geld würde die Anzahlung decken.","Eu já identifiquei um local promissor.<pause:0.75> Nosso dinheiro cobriria o pagamento inicial.","Я уже присмотрел одно неплохое местечко.<pause:0.75> Наших денег хватит на первый взнос.","Ya he buscado un lugar prometedor.<pause:0.75> Nuestro dinero cubriría el pago inicial."
"l1e7 66",39858674068512804,"首付？<pause:0.75> 贷款听起来相当<pause:0.5> 风险。","Down payment?<pause:0.75> A loan sounds pretty<pause:0.5> risky.","Acompte ?<pause:0.75> Un prêt semble assez<pause:0.5> risqué.","Anzahlung?<pause:0.75> Ein Kredit klingt ziemlich<pause:0.5> riskant.","Entrada?<pause:0.75> Um empréstimo parece bastante<pause:0.5> arriscado.","Первый взнос?<pause:0.75> Кредит звучит довольно<pause:0.5> рискованно.","¿Pago inicial?<pause:0.75> Un préstamo suena bastante<pause:0.5> arriesgado."
"l1e7 67",39858674068512805,"当然，<pause:0.75> 但你知道它的运作方式。<pause:0.75> 没有风险，就没有回报。","Of course,<pause:0.75> but you know how it works.<pause:0.75> No risk, no reward.","Bien sûr,<pause:0.75> mais vous savez comment ça marche.<pause:0.75> Pas de risque, pas de récompense.","Natürlich, aber du weißt ja, wie das läuft. Ohne Risiko kein Gewinn.","Claro, mas você sabe como funciona. Sem risco, sem recompensa.","Конечно,<pause:0.75> но ты же сам знаешь, как это работает.<pause:0.75> Кто не рискует, тот не пьет шампанское.","Por supuesto,<pause:0.75> pero ya sabes cómo funciona.<pause:0.75> Sin riesgo, no hay recompensa."
"l1e7 68",39858674068512806,"其实，你知道吗？","Actually, you know what?","En fait, vous savez quoi ?","Weißt du was?","Sabe de uma coisa?","А вообще знаешь что?","En realidad, ¿sabes qué?"
"l1e7 69",39858674068512807,"你说得对！","You're right!","Tu as raison!","Sie haben Recht!","Você tem razão!","А ты прав!","¡Tienes razón!"
"l1e7 70",39858674068512808,"去他妈的冰淇淋店！<pause:0.75> 去他妈的所有店！","Heck the ice cream restaurant!<pause:0.75> Heck all of them!","Au diable le restaurant de glaces !<pause:0.75> Au diable tous !","Verdammt nochmal, das Eiscafé!<pause:0.75> Verdammt nochmal, alle!","Que se dane a sorveteria!<pause:0.75> Que se danem todas elas!","К черту кафе мороженое!<pause:0.75> К черту их всех!","¡Al diablo con el restaurante de helados!<pause:0.75> ¡Al diablo con todos ellos!"
"l1e7 71",39858674068512809,"如果我再有一天要像海盗一样说话，我就要疯了！","If I have to talk like a pirate for one more day, I'll lose my mind!","Si je dois parler comme un pirate un seul jour de plus, je vais devenir fou !","Wenn ich noch einen Tag lang wie ein Pirat reden muss, drehe ich durch!","Se eu tiver que falar como um pirata por mais um dia, vou enlouquecer!","Если я еще хотя бы день буду говорить как пират - я свихнусь!","¡Si tengo que hablar como un pirata un día más, perderé la cabeza!"
"l1e7 72",39858674068512810,"这才对嘛！","Now that's the spirit!","Voilà l'esprit !","Das ist die richtige Einstellung!","Isso sim é espírito de luta!","Вот это настрой!","¡Ése es el espíritu!"
"l1e7 73",39858674068512811,"<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> 你从中能得到什么好处？<pause:0.75> 为什么要帮我？","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> And what's in it for you?<pause:0.75> Why help me?","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Et qu'est-ce que vous y gagnez ?<pause:0.75> Pourquoi m'aider ?","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Und was springt für dich dabei raus?<pause:0.75> Warum solltest du mir helfen?","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> E o que você ganha com isso?<pause:0.75> Por que me ajudar?","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> А тебе оно зачем?<pause:0.75> Зачем помогать мне?","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> ¿Y qué hay en esto para ti?<pause:0.75> ¿Por qué ayudarme?"
