Key,Id,English(en),Russian(ru),Spanish(es),French (France)(fr-FR),German(de),Portuguese (Brazil)(pt-BR),Chinese (Simplified)(zh-CN)
l1e5 28,,"<emote:shake><volume:1>Hey,<pause:0.5><emote:shake> young sailors,<pause:0.5><emote:shake> Peg-Leg Joe has been hiding here this whole time!<pause:0.5><emote:shake> Get in here,<pause:0.5><emote:shake> show him how much you love him!","<emote:shake><volume:1>Эй,<pause:0.5><emote:shake> юнги,<pause:0.5><emote:shake> здесь все это время прятался Хромой Джо!<pause:0.5><emote:shake> Быстрее сюда,<pause:0.5><emote:shake> покажите, как вы его любите!","<emote:shake><volume:1>Hola,<pause:0.5><emote:shake> jóvenes marineros,<pause:0.5><emote:shake> ¡Peg-Leg Joe se ha estado escondiendo aquí todo este tiempo!<pause:0.5><emote:shake> ¡Entren,<pause:0.5><emote:shake> demuéstrenle cuánto lo aman!","<emote:shake><volume:1>Hé,<pause:0.5><emote:shake> jeunes marins,<pause:0.5><emote:shake> Joe Jambe de Bois s'est caché ici tout ce temps !<pause:0.5><emote:shake> Entrez ici,<pause:0.5><emote:shake> montrez-lui combien vous l'aimez !","Hey, junge Matrosen, Peg-Leg Joe hat sich die ganze Zeit hier versteckt! Kommt her, zeigt ihm, wie sehr ihr ihn liebt!","<emote:shake><volume:1>Ei,<pause:0.5><emote:shake> jovens marinheiros,<pause:0.5><emote:shake> o Joe Perneta esteve escondido aqui o tempo todo!<pause:0.5><emote:shake> Entrem aqui,<pause:0.5><emote:shake> mostrem a ele o quanto vocês o amam!",<emote:shake><volume:1>嘿，<pause:0.5><emote:shake>年轻的水手们，<pause:0.5><emote:shake>独腿乔一直躲在这里！<pause:0.5><emote:shake>进来，<pause:0.5><emote:shake>让他知道你们有多爱他！
l1e5 29,,"<volume:0.5>Forward, swabbies,<pause:0.75> bring me all the treasures in the world!<pause:0.75> Hahahahaha!","<volume:0.5>Вперед, салаги,<pause:0.75> добудьте мне все сокровища мира!<pause:0.75> Ахахахаах!","<volume:0.5>¡Adelante, marineros,<pause:0.75> traedme todos los tesoros del mundo!<pause:0.75> ¡Jajajajaja!","<volume:0.5>En avant, matelots,<pause:0.75> rapportez-moi tous les trésors du monde !<pause:0.75> Hahahahaha !","<volume:0.5>Vorwärts, ihr Matrosen,<pause:0.75> bringt mir alle Schätze der Welt!<pause:0.75> Hahahahaha!","<volume:0.5>Avante, marinheiros,<pause:0.75> tragam-me todos os tesouros do mundo!<pause:0.75> Hahahahaha!",<volume:0.5>前进，水兵们，<pause:0.75>把世界上所有的宝藏都带给我！<pause:0.75>哈哈哈哈！
l1e5 30,,It’s Peg-Leg Joe!,Это Хромой Джо!,¡Es Joe Pata de Palo!,C'est Joe à la jambe de bois !,Das ist Holzbein-Joe!,É o Joe Perneta!,是独腿乔！
l1e5 31,,Run to him!,Бежим к нему скорее!,¡Corre hacia él!,Courez vers lui !,Lauf zu ihm!,Corra até ele!,快跑过去！
l1e5 32,,Oh no.,Ой-ей.,"Oh, no.",Oh non.,Oh nein.,Oh não.,哦，不。
l1e6 1,,*sigh* <pause:1> Home.,*вздох* <pause:1> Домой.,*suspiro* <pause:1> Inicio.,*soupir* <pause:1> Accueil.,*seufz* <pause:1> Startseite.,*suspiro* <pause:1> Início.,*叹气* <pause:1> 家。
l1e7 1,,Huh?,А?,¿Eh?,Hein?,Hä?,Huh?,嗯？
l1e7 2,,What the...,Какого?..,¿Qué...?,Quoi...,Was zum...,Que...,什么鬼……
l1e7 3,,Silver,Серый,Plata,Argent,Silber,Prata,银
l1e7 4,,"If you go out without a hat, I’m telling Mom","Будешь без шапки ходить, расскажу матери","Si sales sin sombrero, se lo diré a mamá.","Si tu sors sans chapeau, je le dis à maman","Wenn du ohne Hut aus dem Haus gehst, sage ich's Mama.","Se você sair sem chapéu, vou contar para a mamãe.",如果你出门不戴帽子，我就告诉妈妈。
l1e7 5,,DON’T,НЕ НАДО,NO,NE LE FAITES PAS,NICHT,NÃO,不
l1e7 6,,new message,новое сообщение,nuevo mensaje,nouveau message,neue Nachricht,nova mensagem,新消息
l1e7 7,,Come to the kitchen,Выходи на кухню,Ven a la cocina,Venez dans la cuisine,Komm in die Küche,Venha para a cozinha.,来厨房
l1e7 8,,Hey there!,Приветики!,¡Hola!,Salut!,Hallo!,Ei!,嘿！
l1e7 9,,You do realize you can’t just break into my place like that?,"Ты же понимаешь, что ты не можешь просто так вламываться ко мне домой?",¿Te das cuenta de que no puedes entrar en mi casa así como así?,Vous vous rendez compte que vous ne pouvez pas simplement entrer chez moi comme ça ?,"Dir ist schon klar, dass du nicht einfach so in meine Wohnung einbrechen kannst?",Você tem noção de que não pode simplesmente invadir minha casa assim?,你难道不知道你不能就这样闯进我家吗？
l1e7 10,,It was unlocked.,У тебя было открыто.,Estaba desbloqueado.,Il était déverrouillé.,Es war entriegelt.,Estava destrancado.,它已解锁。
l1e7 11,,And why are you sitting here in the dark?,И почему ты тут сидишь в темноте?,¿Y por qué estás sentado aquí en la oscuridad?,Et pourquoi êtes-vous assis ici dans le noir ?,Und warum sitzt du hier im Dunkeln?,E por que você está sentado aqui no escuro?,你为什么坐在黑暗中？
l1e7 12,,I’m feeling playful.,У меня игривое настроение.,Me siento juguetón.,J'ai envie de jouer.,Ich bin in verspielter Stimmung.,Estou me sentindo brincalhão(a).,我感觉心情很好，想玩玩。
l1e7 13,,...,...,...,...,...,...,...
l1e7 14,,"Oh,<pause:0.5> don’t act like you’re not happy to see me.","Ой,<pause:0.5> ну, не веди себя так, будто бы не рад меня видеть.","Oh,<pause:0.5> no actúes como si no estuvieras feliz de verme.","Oh,<pause:0.5>, ne fais pas comme si tu n'étais pas content de me voir.","Oh, <pause:0.5> tu nicht so, als würdest du dich nicht freuen, mich zu sehen.","Oh, <pause:0.5> não aja como se não estivesse feliz em me ver.",哦，<pause:0.5>，别装作不高兴见到我的样子。
l1e7 15,,I am.,Я рад.,Soy.,Je suis.,Ich bin.,Eu sou.,我是。
l1e7 16,,So.<pause:0.75> Why are you here?,И так.<pause:0.75> Зачем ты пришел?,Entonces.<pause:0.75> ¿Por qué estás aquí?,Alors.<pause:0.75> Pourquoi êtes-vous ici ?,So.<pause:0.75> Warum bist du hier?,"Então, por que você está aqui?",所以，你为什么在这里？
l1e7 17,,Can’t I just drop by to check on my little brother?,Я что не могу просто прийти проведать своего братишку?,¿No puedo simplemente pasar a ver cómo está mi hermano pequeño?,Je ne peux pas passer voir mon petit frère ?,Kann ich nicht einfach mal vorbeischauen und nach meinem kleinen Bruder sehen?,Não posso simplesmente dar uma passadinha para ver como está meu irmãozinho?,我能顺道去看看我弟弟吗？
l1e7 18,,"You can,<pause:0.75> but you don’t.","Ты можешь,<pause:0.75>  но ты так не делаешь.","Puedes,<pause:0.75> pero no lo haces.","Vous pouvez,<pause:0.75> mais vous ne le faites pas.","Du kannst, aber du tust es nicht.","Você pode,<pause:0.75> mas você não faz.",你可以这样做，但你不会这样做。
l1e7 19,,Wow. Is that really how little you think of me?,Как плохо ты обо мне думаешь.,Vaya. ¿De verdad es tan poco lo que piensas de mí?,Waouh. Tu me sous-estimes vraiment à ce point ?,"Wow. Ist das wirklich so wenig, wie du von mir hältst?",Nossa. É assim que você me considera?,哇，你真的这么轻视我吗？
l1e7 20,,"Alright,<pause:0.75> you got me.","Ладно,<pause:0.75> ты меня подловил.","Muy bien,<pause:0.75> me tienes.","D'accord,<pause:0.75> tu m'as eu.","Okay,<pause:0.75>, du hast mich erwischt.","Certo, você me pegou.",好吧，<pause:0.75>，你赢了。
l1e7 21,,I’m not here for no reason.<pause:0.75> I have a proposition for you.,Я и вправду пришел не просто так.<pause:0.75> У меня есть для тебя предложение.,No estoy aquí sin motivo.<pause:0.75> Tengo una propuesta para ti.,Je ne suis pas ici sans raison.<pause:0.75> J'ai une proposition à vous faire.,Ich bin nicht ohne Grund hier. Ich habe einen Vorschlag für Sie.,Não estou aqui sem motivo.<pause:0.75> Tenho uma proposta para você.,我来这里并非无缘无故。我有个提议。
l1e7 22,,NO!,НЕТ!,¡NO!,NON!,NEIN!,NÃO!,不！
l1e7 23,,You didn’t even hear me out.,Но ты даже не выслушал.,Ni siquiera me escuchaste.,Tu ne m'as même pas écouté.,Du hast mir nicht einmal zugehört.,Você nem sequer me ouviu.,你根本没听我说完。
l1e7 24,,"NO!<pause:0.75> I’m out of the game!<pause:0.75> I’m just a regular cook now, remember?","НЕТ!<pause:0.75> Я вышел из игры!<pause:0.75> Я теперь обычный повар, забыл?","¡NO!<pause:0.75> ¡Estoy fuera del juego!<pause:0.75> Ahora solo soy un cocinero normal, ¿recuerdas?","NON !<pause:0.75> Je me retire du jeu !<pause:0.75> Je ne suis plus qu'un simple cuisinier maintenant, vous vous souvenez ?","NEIN!<pause:0.75> Ich bin raus aus dem Spiel!<pause:0.75> Ich bin jetzt nur noch ein ganz normaler Koch, erinnerst du dich?","NÃO!<pause:0.75> Estou fora do jogo!<pause:0.75> Agora sou apenas um cozinheiro comum, lembra?",不！<pause:0.75> 我退出游戏了！<pause:0.75> 我现在只是个普通厨师，记得吗？
l1e7 25,,You're serving ice cream at a children's restaurant.<pause:0.75> You’re not a cook.,Ты накладываешь мороженое в детском заведении.<pause:0.75> Ты не повар.,Estás sirviendo helado en un restaurante infantil.<pause:0.75> No eres cocinero.,Vous servez de la glace dans un restaurant pour enfants.<pause:0.75> Vous n'êtes pas cuisinier.,Du servierst Eis in einem Kinderrestaurant. Du bist kein Koch.,Você está servindo sorvete em um restaurante infantil.<pause:0.75> Você não é cozinheiro(a).,你在一家儿童餐厅卖冰淇淋。你不是厨师。
l1e7 26,,I practice a lot at home!,Я много практикуюсь дома!,¡Practico mucho en casa!,Je m'entraîne beaucoup à la maison !,Ich übe viel zu Hause!,Eu pratico bastante em casa!,我经常在家练习！
l1e7 27,,And I know you’re good.,"И я знаю, что у тебя хорошо получается.",Y yo sé que eres bueno.,Et je sais que tu es bon.,"Und ich weiß, dass du gut bist.",E eu sei que você é bom.,我知道你很优秀。
l1e7 28,,"But being a cook isn’t a hobby,<pause:0.75> it’s a profession.","Но повар - это не хобби,<pause:0.75> повар - это профессия.","Pero ser cocinero no es un hobby, es una profesión.","Mais être cuisinier n’est pas un passe-temps, c’est une profession.","Aber Koch zu sein ist kein Hobby, sondern ein Beruf.","Mas ser cozinheiro não é um hobby, é uma profissão.",但做饭不是一种爱好，而是一项职业。
l1e7 29,,Did you come here just to insult me?,Ты пришел говорить обидные вещи или что?,¿Viniste aquí sólo para insultarme?,Tu es venu ici juste pour m'insulter ?,"Bist du nur hierher gekommen, um mich zu beleidigen?",Você veio aqui só para me insultar?,你来这里就是为了侮辱我吗？
l1e7 30,,I actually came to help you with that.,Я на самом деле пришел тебе с этим помочь.,En realidad vine a ayudarte con eso.,"En fait, je suis venu pour vous aider avec ça.","Ich bin eigentlich gekommen, um Ihnen dabei zu helfen.","Na verdade, vim para te ajudar com isso.",我其实是来帮你的。
l1e7 31,,"First of all, I don’t like the sound of that.<pause:0.75> And second, you don’t understand anything about cooking.",Во-первых мне не нравится.<pause:0.75> А во-вторых ты ничего не понимаешь в готовке.,"Primero que todo, no me gusta cómo suena eso.<pause:0.75> Y segundo, no entiendes nada de cocina.","Tout d'abord, ça ne me plaît pas du tout. Et ensuite, tu ne connais rien à la cuisine.",Erstens gefällt mir das nicht. Und zweitens verstehst du überhaupt nichts vom Kochen.,"Em primeiro lugar, não gosto do que isso soa. E em segundo lugar, você não entende nada de culinária.",首先，我不喜欢这个说法。其次，你对烹饪一窍不通。
l1e7 32,,Maybe not.<pause:0.75> But I do understand that you’re going about your goal the wrong way.,"Зато я понимаю, что ты идешь к своей цели неправильно.",Tal vez no.<pause:0.75> Pero entiendo que estás abordando tu objetivo de manera incorrecta.,Peut-être pas.<pause:0.75> Mais je comprends que vous vous y prenez mal pour atteindre votre objectif.,"Vielleicht nicht. Aber ich verstehe, dass du dein Ziel auf dem falschen Weg verfolgst.",Talvez não.<pause:0.75> Mas eu entendo que você está buscando seu objetivo da maneira errada.,也许不是。但我明白你实现目标的方式不对。
l1e7 33,,"Red,<pause:0.75> you’re not keeping up.","Рыжий,<pause:0.75> ты не вывозишь.","Rojo,<pause:0.75> no estás al día.","Rouge,<pause:0.75> tu ne suis pas à la hauteur.","Red,<pause:0.75> du kommst nicht hinterher.","Vermelho,<pause:0.75> você não está acompanhando.",Red，<pause:0.75>，你跟不上。
l1e7 34,,"Worse,<pause:0.75> what you’re going through isn’t bringing you closer to your goal.","Более того, то, через что ты проходишь тебя не приближает к цели.","Peor aún, lo que estás atravesando no te acerca a tu objetivo.","Pire encore, ce que vous traversez ne vous rapproche pas de votre objectif.","Noch schlimmer ist, dass das, was du gerade durchmachst, dich deinem Ziel nicht näher bringt.","Pior ainda, o que você está passando não está te aproximando do seu objetivo.",更糟糕的是，你正在经历的事情并没有让你离目标更近一步。
l1e7 35,,It’s pushing you further away.,Скорее отдаляет.,Te está alejando aún más.,Cela vous éloigne encore plus.,Es treibt dich immer weiter weg.,Isso está te afastando ainda mais.,它正把你们越推越远。
l1e7 36,,"No, it’s not!",А вот и нет!,"¡No, no lo es!","Non, ce n'est pas le cas !","Nein, das stimmt nicht!","Não, não é!",不，不是的！
l1e7 37,,Take a look at this!,Посмотри ка на это!,¡Échale un vistazo a esto!,Regardez ça !,Schau dir das an!,Dê uma olhada nisso!,看看这个！
l1e7 38,,Behold!,Узри!,¡Mirad!,Voir!,Sehen!,Contemplar!,看！
l1e7 39,,my goal,моя цель,mi objetivo,mon objectif,Mein Ziel,meu objetivo,我的目标
l1e7 40,,See?<pause:0.5> I’m already halfway there!,Видишь?<pause:0.5> Я уже на пол пути к цели!,¿Ves?<pause:0.5> ¡Ya estoy a mitad de camino!,Vous voyez ?<pause:0.5> J'en suis déjà à la moitié !,Seht ihr?<pause:0.5> Ich bin schon auf halbem Weg!,Viu?<pause:0.5> Já estou na metade do caminho!,看！我已经完成一半了！
l1e7 41,,I don’t drag myself to that damn job day after day for nothing!,Я день за днем хожу на эту чертову работу не просто так!,¡No me arrastro a ese maldito trabajo día tras día para nada!,Je ne me traîne pas à ce fichu boulot jour après jour pour rien !,Ich schleppe mich ja nicht umsonst Tag für Tag zu diesem verdammten Job!,Não me arrasto para esse maldito emprego dia após dia à toa!,我可不是白白每天拖着疲惫的身体去上班的！
l1e7 42,,"And when I fill this up, I’ll open a restaurant where I serve the best dishes around!","А когда я ее заполню, я открою ресторан, где буду подавать самые вкусные блюда!","¡Y cuando llene esto, abriré un restaurante donde serviré los mejores platos de la zona!","Et quand j'aurai rempli cette caisse, j'ouvrirai un restaurant où je servirai les meilleurs plats du coin !","Und wenn ich das voll habe, eröffne ich ein Restaurant, in dem ich die besten Gerichte der Gegend serviere!","E quando eu encher isso, vou abrir um restaurante onde servirei os melhores pratos da região!",等我把这笔钱填满，我就要开一家餐厅，供应最美味的菜肴！
l1e7 43,,And the staff will get outrageously long breaks!,И в нем будут возмутительно долгие перерывы для сотрудников!,¡Y el personal tendrá descansos escandalosamente largos!,Et le personnel bénéficiera de pauses excessivement longues !,Und die Angestellten bekommen unglaublich lange Pausen!,E os funcionários terão intervalos absurdamente longos!,而且员工还能获得超长的休息时间！
l1e7 44,,But working there will be so amazing no one will even want to take them!,"Но работать в нем будет так классно, что никто не захочет ими пользоваться!",¡Pero trabajar allí será tan maravilloso que nadie querrá ni llevárselos!,Mais travailler là-bas sera tellement génial que personne ne voudra même les prendre !,"Aber die Arbeit dort wird so fantastisch sein, dass niemand sie überhaupt einstellen will!",Mas trabalhar lá será tão incrível que ninguém vai querer contratá-los!,但是，在那里工作会非常棒，以至于没有人愿意带他们去！
l1e7 45,,And no one will ever say Red isn’t a real cook!,"И больше никто не скажет, что Рыжий - не повар!",¡Y nadie dirá jamás que Red no es un verdadero cocinero!,Et personne ne dira jamais que Red n'est pas une vraie cuisinière !,"Und niemand wird jemals behaupten, Red sei kein richtiger Koch!",E ninguém jamais dirá que Red não é um cozinheiro de verdade!,谁也不会说雷德不是个真正的厨师！
l1e7 46,,No one!,Никто!,¡Nadie!,Personne!,Niemand!,Ninguém!,没有人！
l1e7 47,,"Oh, you grumpy little cupcake",Да ты моя ворчливая булочка.,"Oh, tú, pequeño pastelito gruñón","Oh, petit gâteau grognon","Oh, du mürrischer kleiner Cupcake","Oh, seu bolinho rabugento!",哦，你这个爱生气的小甜心
l1e7 48,,I’m not arguing that you work hard.,"Я и не спорю, что ты трудишься очень усердно.",No estoy diciendo que trabajes duro.,Je ne conteste pas que vous travailliez dur.,"Ich bestreite nicht, dass du hart arbeitest.",Não estou dizendo que você trabalha duro.,我并不是说你工作很努力。
l1e7 49,,"If anything,<pause:0.5> you’ve buried yourself in cooking so deep you forgot to keep your eyes open.","Скорее наоборот,<pause:0.5> ты так закопался в готовку, что забыл держать нос по ветру.","En todo caso,<pause:0.5> te has sumergido tanto en la cocina que olvidaste mantener los ojos abiertos.","Au contraire, vous vous êtes tellement plongé dans la cuisine que vous en avez oublié de garder les yeux ouverts.","Wenn überhaupt, dann hast du dich so tief ins Kochen vertieft, dass du vergessen hast, die Augen offen zu halten.","Na verdade, você se envolveu tanto na culinária que se esqueceu de manter os olhos abertos.",如果说有什么事的话，那就是<pause:0.5>你把自己埋头于烹饪中，以至于忘记睁开眼睛了。
l1e7 50,,"Red,<pause:0.5> how long ago did you set this goal?","Рыжий,<pause:0.5> как давно ты поставил себе эту цель?","Rojo,<pause:0.5> ¿hace cuánto tiempo estableciste este objetivo?","Rouge,<pause:0.5>, il y a combien de temps avez-vous fixé cet objectif ?","Red,<pause:0.5> Wie lange ist es her, dass du dir dieses Ziel gesetzt hast?","Vermelho,<pause:0.5> há quanto tempo você definiu essa meta?",Red，<pause:0.5>，你是什么时候设定这个目标的？
l1e7 51,,A year and a half ago.,Полтора года назад.,Hace un año y medio.,Il y a un an et demi.,Vor anderthalb Jahren.,Há um ano e meio.,一年半前。
l1e7 52,,Have you seen how much prices have gone up since then?,"Ты видел, как цены за это время подскочили?",¿Has visto cuánto han subido los precios desde entonces?,Avez-vous constaté à quel point les prix ont augmenté depuis ?,"Haben Sie gesehen, wie stark die Preise seitdem gestiegen sind?",Você viu o quanto os preços subiram desde então?,你看到自那时以来价格上涨了多少吗？
l1e7 53,,"Well, prices always go up a little.","Ну, цены всегда понемногу растут.","Bueno, los precios siempre suben un poco.","Eh bien, les prix augmentent toujours un peu.","Nun ja, die Preise steigen immer ein bisschen.","Bem, os preços sempre sobem um pouco.",价格总是会小幅上涨的。
l1e7 54,,Just look at how much that equipment you liked back then costs now.,"Просто посмотри, сколько стоит то оборудование, которое тебе тогда приглянулось.",Sólo mira cuánto cuesta ahora ese equipo que te gustaba en aquel entonces.,Regarde combien coûte maintenant le matériel que tu aimais bien à l'époque.,"Schau dir nur an, wie viel die Geräte, die du damals mochtest, heute kosten.",Veja só quanto custa hoje aquele equipamento que você gostava naquela época.,看看你当年喜欢的那些设备现在值多少钱吧。
l1e7 55,,"Oh come on,<pause:0.5> it can’t be that bad.","Ой, ну, не может же быть все настолько плохо.","Oh, vamos,<pause:0.5> no puede ser tan malo.","Allez, <pause:0.5>, ça ne peut pas être si terrible.","Ach komm schon, so schlimm kann es doch nicht sein.","Ah, qual é, não pode ser tão ruim assim.",哦，拜托，<pause:0.5>，情况不会那么糟糕。
l1e7 56,,I’m sure you could move mountains with that stubbornness of yours.,"Я уверен, что ты своим упрямством можешь горы свернуть.",Estoy seguro de que podrías mover montañas con esa terquedad tuya.,"Je suis sûre qu'avec votre entêtement, vous pourriez déplacer des montagnes.",Mit deiner Sturheit könntest du bestimmt Berge versetzen.,Tenho certeza de que você seria capaz de mover montanhas com essa sua teimosia.,我相信以你那股倔劲儿，肯定能移山填海。
l1e7 57,,"But if you keep going like this, you’ll drift even further from your goal.","Но, если продолжишь в том же духе, то отдалишься от цели еще сильнее.","Pero si sigues así, te alejarás aún más de tu objetivo.","Mais si vous continuez comme ça, vous vous éloignerez encore plus de votre objectif.","Wenn du aber so weitermachst, entfernst du dich immer weiter von deinem Ziel.","Mas se você continuar assim, vai se distanciar ainda mais do seu objetivo.",但如果你继续这样下去，你只会离目标越来越远。
l1e7 58,,Things are getting more expensive faster than you’re earning.,"Вещи дорожают быстрее, чем ты зарабатываешь.",Las cosas se están volviendo más caras más rápido de lo que ganas.,Les choses coûtent plus cher que vous ne gagnez.,"Die Kosten steigen schneller, als du verdienst.",As coisas estão ficando mais caras mais rápido do que você está ganhando.,物价上涨的速度超过了你的收入增长速度。
l1e7 59,,So what am I supposed to do?,И что мне тогда делать?,Entonces ¿qué se supone que debo hacer?,"Alors, que suis-je censé faire ?",Was soll ich denn nun tun?,"Então, o que eu devo fazer?",那我该怎么办？
l1e7 60,,Take action.,Действовать.,Tomar medidas.,Agissez.,Handeln Sie.,Tome uma atitude.,采取行动。
l1e7 61,,This still isn’t enough to cover your whole vision.,"Здесь все еще не хватит на то, чтобы покрыть всю твою задумку в полной мере.",Esto todavía no es suficiente para cubrir toda tu visión.,Cela ne suffit toujours pas à couvrir l'ensemble de votre vision.,"Das reicht noch nicht aus, um Ihre gesamte Vision abzudecken.",Isso ainda não é suficiente para abranger toda a sua visão.,但这仍然不足以覆盖你的整个视野​​。
l1e7 62,,But it’s decent starting capital for something more modest.,"Но это неплохой стартовый капитал, чтобы начать с чего-то более скромного.",Pero es un capital inicial decente para algo más modesto.,Mais c'est un capital de départ correct pour quelque chose de plus modeste.,Aber es ist ein ordentliches Startkapital für etwas Bescheideneres.,Mas é um capital inicial razoável para algo mais modesto.,但对于一些规模较小的项目来说，这是一笔不错的启动资金。
l1e7 63,,"For example,<pause:0.75> a small restaurant in a smaller town.","Например,<pause:0.75> с ресторанчика в городе поменьше.","Por ejemplo, <pause:0.75> un pequeño restaurante en una ciudad más pequeña.","Par exemple,<pause:0.75> un petit restaurant dans une petite ville.",Zum Beispiel: <pause:0.75> ein kleines Restaurant in einer kleineren Stadt.,"Por exemplo,<pause:0.75> um pequeno restaurante em uma cidade menor.",例如，<pause:0.75> 小镇上的一家小餐馆。
l1e7 64,,I’ve already scoped out a promising spot.<pause:0.75> Our money would cover the down payment.,Я уже присмотрел одно неплохое местечко.<pause:0.75> Наших денег хватит на первый взнос.,Ya he buscado un lugar prometedor.<pause:0.75> Nuestro dinero cubriría el pago inicial.,J’ai déjà repéré un endroit prometteur.<pause:0.75> Notre argent couvrirait l’acompte.,Ich habe bereits einen vielversprechenden Platz ausfindig gemacht. Unser Geld würde die Anzahlung decken.,Eu já identifiquei um local promissor.<pause:0.75> Nosso dinheiro cobriria o pagamento inicial.,我已经考察出一个很有希望的地方。我们的钱可以支付首付。
l1e7 65,,Down payment?<pause:0.75> A loan sounds pretty<pause:0.5> risky.,Первый взнос?<pause:0.75> Кредит звучит довольно<pause:0.5> рискованно.,¿Pago inicial?<pause:0.75> Un préstamo suena bastante<pause:0.5> arriesgado.,Acompte ?<pause:0.75> Un prêt semble assez<pause:0.5> risqué.,Anzahlung?<pause:0.75> Ein Kredit klingt ziemlich<pause:0.5> riskant.,Entrada?<pause:0.75> Um empréstimo parece bastante<pause:0.5> arriscado.,首付？<pause:0.75> 贷款听起来相当<pause:0.5> 风险。
l1e7 66,,"Of course,<pause:0.75> but you know how it works.<pause:0.75> Nothing ventured, nothing gained.","Конечно,<pause:0.75> но ты же сам знаешь, как это работает.<pause:0.75> Кто не рискует, тот не пьет шампанское.","Por supuesto, pero ya sabes cómo funciona. Quien no arriesga no gana.","Bien sûr,<pause:0.75> mais vous savez comment ça marche.<pause:0.75> Qui ne risque rien n'a rien.","Natürlich, aber du weißt ja, wie das läuft. Wer nicht wagt, der nicht gewinnt.","Claro, mas você sabe como funciona. Quem não arrisca, não petisca.",当然，<pause:0.75> 但你知道是怎么回事。<pause:0.75> 不入虎穴，焉得虎子。
l1e7 67,,"Actually, you know what?",А вообще знаешь что?,"En realidad, ¿sabes qué?","En fait, vous savez quoi ?",Weißt du was?,Sabe de uma coisa?,其实，你知道吗？
l1e7 68,,You’re right!,А ты прав!,¡Tienes razón!,Tu as raison!,Sie haben Recht!,Você tem razão!,你说得对！
l1e7 69,,Heck the ice cream restaurant!<pause:0.75> Heck all of them!,К черту кафе мороженое!<pause:0.75> К черту их всех!,¡Al diablo con el restaurante de helados!<pause:0.75> ¡Al diablo con todos ellos!,Au diable le restaurant de glaces !<pause:0.75> Au diable tous !,"Verdammt nochmal, das Eiscafé!<pause:0.75> Verdammt nochmal, alle!",Que se dane a sorveteria!<pause:0.75> Que se danem todas elas!,去他妈的冰淇淋店！<pause:0.75> 去他妈的所有店！
l1e7 70,,"If I have to talk like a pirate for one more day, I’ll lose my mind!",Если я еще хотя бы день буду говорить как пират - я свихнусь!,"¡Si tengo que hablar como un pirata un día más, perderé la cabeza!","Si je dois parler comme un pirate un seul jour de plus, je vais devenir fou !","Wenn ich noch einen Tag lang wie ein Pirat reden muss, drehe ich durch!","Se eu tiver que falar como um pirata por mais um dia, vou enlouquecer!",如果我再有一天要像海盗一样说话，我就要疯了！
l1e7 71,,Now that’s the spirit!,Вот это настрой!,¡Ése es el espíritu!,Voilà l'esprit !,Das ist die richtige Einstellung!,Isso sim é espírito de luta!,这才对嘛！
l1e7 72,,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> And what’s in it for you?<pause:0.75> Why help me?,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> А тебе оно зачем?<pause:0.75> Зачем помогать мне?,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> ¿Y qué hay en esto para ti?<pause:0.75> ¿Por qué ayudarme?,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Et qu'est-ce que vous y gagnez ?<pause:0.75> Pourquoi m'aider ?,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Und was springt für dich dabei raus?<pause:0.75> Warum solltest du mir helfen?,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> E o que você ganha com isso?<pause:0.75> Por que me ajudar?,<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> 你从中能得到什么好处？<pause:0.75> 为什么要帮我？
l1e7 73,,"Well,<pause:0.75> first of all,<pause:0.75> because I worry about my little brother.","Ну,<pause:0.75> во-первых,<pause:0.75> потому что я переживаю за моего младшего братишку.","Bueno,<pause:0.75> primero que todo,<pause:0.75> porque me preocupa mi hermano pequeño.","Eh bien, tout d'abord, parce que je m'inquiète pour mon petit frère.","Nun ja, zuallererst, weil ich mir Sorgen um meinen kleinen Bruder mache.","Bem, primeiro de tudo, porque me preocupo com meu irmãozinho.",首先，<pause:0.75>，<pause:0.75>，因为我担心我的弟弟。
l1e7 74,,Who would absolutely get himself into trouble without me.,Который без меня обязательно наделает глупостей.,¿Quién se metería en problemas sin mí?,Qui se mettrait forcément dans le pétrin sans moi.,Der würde sich ohne mich ganz sicher in Schwierigkeiten bringen.,Quem com certeza se meteria em encrenca sem mim?,如果没有我，他肯定会给自己惹麻烦。
l1e7 75,,"And second, I want a share.",А во-вторых я хочу в долю.,"Y segundo, quiero una parte.","Et deuxièmement, je veux une part.",Und zweitens möchte ich einen Anteil.,"E em segundo lugar, quero uma parte.",其次，我也想要一部分股份。
l1e7 76,,I don’t believe you!,Я тебе не верю!,¡No te creo!,Je ne te crois pas !,Ich glaube dir nicht!,Não acredito em você!,我不相信你！
l1e7 77,,You can practically make money out of thin air!,Ты буквально можешь делать деньги из воздуха!,¡Prácticamente puedes hacer dinero de la nada!,On peut pratiquement gagner de l'argent à partir de rien !,Man kann praktisch aus dem Nichts Geld schöpfen!,É possível praticamente ganhar dinheiro do nada!,你几乎可以凭空赚钱！
